State,Year,Quarter,District,Registered_users
tamil-nadu,2022,2,Chengalpattu,1704864
tamil-nadu,2022,2,Kancheepuram,1220237
tamil-nadu,2022,2,Tiruppur,1070480
tamil-nadu,2022,2,Salem,954155
tamil-nadu,2022,2,Madurai,864806
tamil-nadu,2022,2,Krishnagiri,818552
tamil-nadu,2022,2,Tiruchirappalli,725751
tamil-nadu,2022,3,Chennai,2635738
tamil-nadu,2022,3,Thiruvallur,2183990
tamil-nadu,2022,3,Coimbatore,1867655
tamil-nadu,2022,3,Chengalpattu,1791530
tamil-nadu,2022,3,Kancheepuram,1284243
tamil-nadu,2022,3,Tiruppur,1128474
tamil-nadu,2022,3,Salem,1005031
tamil-nadu,2022,3,Madurai,910111
tamil-nadu,2022,3,Krishnagiri,862231
tamil-nadu,2022,3,Tiruchirappalli,763327
tamil-nadu,2022,4,Chennai,2763151
tamil-nadu,2022,4,Thiruvallur,2290089
tamil-nadu,2022,4,Coimbatore,1955681
tamil-nadu,2022,4,Chengalpattu,1876163
tamil-nadu,2022,4,Kancheepuram,1346845
tamil-nadu,2022,4,Tiruppur,1183174
tamil-nadu,2022,4,Salem,1052099
tamil-nadu,2022,4,Madurai,953739
tamil-nadu,2022,4,Krishnagiri,902906
tamil-nadu,2022,4,Tiruchirappalli,798742
tamil-nadu,2024,1,Chennai,3324538
tamil-nadu,2024,1,Thiruvallur,2781638
tamil-nadu,2024,1,Coimbatore,2365485
tamil-nadu,2024,1,Chengalpattu,2267245
tamil-nadu,2024,1,Kancheepuram,1636613
tamil-nadu,2024,1,Tiruppur,1450347
tamil-nadu,2024,1,Salem,1286923
tamil-nadu,2024,1,Madurai,1160424
tamil-nadu,2024,1,Krishnagiri,1103984
tamil-nadu,2024,1,Tiruchirappalli,974721
tamil-nadu,2024,2,Chennai,3447286
tamil-nadu,2024,2,Thiruvallur,2888323
tamil-nadu,2024,2,Coimbatore,2453619
tamil-nadu,2024,2,Chengalpattu,2351888
tamil-nadu,2024,2,Kancheepuram,1698969
tamil-nadu,2024,2,Tiruppur,1506694
tamil-nadu,2024,2,Salem,1337032
tamil-nadu,2024,2,Madurai,1205081
tamil-nadu,2024,2,Krishnagiri,1146774
tamil-nadu,2024,2,Tiruchirappalli,1012247
tamil-nadu,2024,3,Chennai,5387490
tamil-nadu,2024,3,Coimbatore,2624716
tamil-nadu,2024,3,Chengalpattu,2254071
tamil-nadu,2024,3,Tiruppur,1682241
tamil-nadu,2024,3,Tiruvallur,1651599
tamil-nadu,2024,3,Salem,1448401
tamil-nadu,2024,3,Krishnagiri,1243966
tamil-nadu,2024,3,Madurai,1229378
tamil-nadu,2024,3,Tiruchirappalli,1021499
tamil-nadu,2024,3,Erode,930653
tamil-nadu,2024,4,Chennai,5541760
tamil-nadu,2024,4,Coimbatore,2702014
tamil-nadu,2024,4,Chengalpattu,2319818
tamil-nadu,2024,4,Tiruppur,1731021
tamil-nadu,2024,4,Tiruvallur,1698495
tamil-nadu,2024,4,Salem,1492614
tamil-nadu,2024,4,Krishnagiri,1282448
tamil-nadu,2024,4,Madurai,1266349
tamil-nadu,2024,4,Tiruchirappalli,1053136
tamil-nadu,2024,4,Erode,958405
tamil-nadu,2023,1,Chennai,2885933
tamil-nadu,2023,1,Thiruvallur,2393917
tamil-nadu,2023,1,Coimbatore,2042019
tamil-nadu,2023,1,Chengalpattu,1959401
tamil-nadu,2023,1,Kancheepuram,1408216
tamil-nadu,2023,1,Tiruppur,1237941
tamil-nadu,2023,1,Salem,1100202
tamil-nadu,2023,1,Madurai,996514
tamil-nadu,2023,1,Krishnagiri,944553
tamil-nadu,2023,1,Tiruchirappalli,834366
tamil-nadu,2023,2,Chennai,2987502
tamil-nadu,2023,2,Thiruvallur,2484893
tamil-nadu,2023,2,Coimbatore,2118883
tamil-nadu,2023,2,Chengalpattu,2031529
tamil-nadu,2023,2,Kancheepuram,1461910
tamil-nadu,2023,2,Tiruppur,1289806
tamil-nadu,2023,2,Salem,1144842
tamil-nadu,2023,2,Madurai,1035842
tamil-nadu,2023,2,Krishnagiri,983032
tamil-nadu,2023,2,Tiruchirappalli,868289
tamil-nadu,2023,3,Chennai,3098864
tamil-nadu,2023,3,Thiruvallur,2582607
tamil-nadu,2023,3,Coimbatore,2200165
tamil-nadu,2023,3,Chengalpattu,2109212
tamil-nadu,2023,3,Kancheepuram,1519225
tamil-nadu,2023,3,Tiruppur,1341973
tamil-nadu,2023,3,Salem,1191010
tamil-nadu,2023,3,Madurai,1076620
tamil-nadu,2023,3,Krishnagiri,1023066
tamil-nadu,2023,3,Tiruchirappalli,903048
tamil-nadu,2023,4,Chennai,3205005
tamil-nadu,2023,4,Thiruvallur,2676065
tamil-nadu,2023,4,Coimbatore,2277873
tamil-nadu,2023,4,Chengalpattu,2183205
tamil-nadu,2023,4,Kancheepuram,1574315
tamil-nadu,2023,4,Tiruppur,1392956
tamil-nadu,2023,4,Salem,1236133
tamil-nadu,2023,4,Madurai,1115928
tamil-nadu,2023,4,Krishnagiri,1060928
tamil-nadu,2023,4,Tiruchirappalli,936873
tamil-nadu,2019,1,Chennai,830586
tamil-nadu,2019,1,Thiruvallur,625908
tamil-nadu,2019,1,Chengalpattu,578045
tamil-nadu,2019,1,Coimbatore,495350
tamil-nadu,2019,1,Kancheepuram,385091
tamil-nadu,2019,1,Tiruppur,273869
tamil-nadu,2019,1,Salem,257624
tamil-nadu,2019,1,Madurai,224783
tamil-nadu,2019,1,Krishnagiri,212859
tamil-nadu,2019,1,Tiruchirappalli,193798
tamil-nadu,2019,2,Chennai,969955
tamil-nadu,2019,2,Thiruvallur,733978
tamil-nadu,2019,2,Chengalpattu,667137
tamil-nadu,2019,2,Coimbatore,584160
tamil-nadu,2019,2,Kancheepuram,447527
tamil-nadu,2019,2,Tiruppur,324350
tamil-nadu,2019,2,Salem,302033
tamil-nadu,2019,2,Madurai,268420
tamil-nadu,2019,2,Krishnagiri,252986
tamil-nadu,2019,2,Tiruchirappalli,229886
tamil-nadu,2019,3,Chennai,1090190
tamil-nadu,2019,3,Thiruvallur,828137
tamil-nadu,2019,3,Chengalpattu,744424
tamil-nadu,2019,3,Coimbatore,669547
tamil-nadu,2019,3,Kancheepuram,503192
tamil-nadu,2019,3,Tiruppur,371296
tamil-nadu,2019,3,Salem,342259
tamil-nadu,2019,3,Madurai,305793
tamil-nadu,2019,3,Krishnagiri,290478
tamil-nadu,2019,3,Tiruchirappalli,261919
tamil-nadu,2019,4,Chennai,1216610
tamil-nadu,2019,4,Thiruvallur,934744
tamil-nadu,2019,4,Chengalpattu,829575
tamil-nadu,2019,4,Coimbatore,767480
tamil-nadu,2019,4,Kancheepuram,564806
tamil-nadu,2019,4,Tiruppur,427694
tamil-nadu,2019,4,Salem,390301
tamil-nadu,2019,4,Madurai,351234
tamil-nadu,2019,4,Krishnagiri,335178
tamil-nadu,2019,4,Tiruchirappalli,299366
tamil-nadu,2021,1,Chennai,1865001
tamil-nadu,2021,1,Thiruvallur,1522407
tamil-nadu,2021,1,Coimbatore,1304141
tamil-nadu,2021,1,Chengalpattu,1259678
tamil-nadu,2021,1,Kancheepuram,895950
tamil-nadu,2021,1,Tiruppur,772074
tamil-nadu,2021,1,Salem,693137
tamil-nadu,2021,1,Madurai,630685
tamil-nadu,2021,1,Krishnagiri,592655
tamil-nadu,2021,1,Tiruchirappalli,527667
tamil-nadu,2021,2,Chennai,1988355
tamil-nadu,2021,2,Thiruvallur,1626966
tamil-nadu,2021,2,Coimbatore,1393621
tamil-nadu,2021,2,Chengalpattu,1344163
tamil-nadu,2021,2,Kancheepuram,957182
tamil-nadu,2021,2,Tiruppur,828168
tamil-nadu,2021,2,Salem,742566
tamil-nadu,2021,2,Madurai,675035
tamil-nadu,2021,2,Krishnagiri,635191
tamil-nadu,2021,2,Tiruchirappalli,565156
tamil-nadu,2021,3,Chennai,2124347
tamil-nadu,2021,3,Thiruvallur,1744228
tamil-nadu,2021,3,Coimbatore,1494350
tamil-nadu,2021,3,Chengalpattu,1438295
tamil-nadu,2021,3,Kancheepuram,1025651
tamil-nadu,2021,3,Tiruppur,891753
tamil-nadu,2021,3,Salem,798213
tamil-nadu,2021,3,Madurai,725021
tamil-nadu,2021,3,Krishnagiri,683549
tamil-nadu,2021,3,Tiruchirappalli,607438
tamil-nadu,2021,4,Chennai,2261346
tamil-nadu,2021,4,Thiruvallur,1860992
tamil-nadu,2021,4,Coimbatore,1594082
tamil-nadu,2021,4,Chengalpattu,1532535
tamil-nadu,2021,4,Kancheepuram,1094222
tamil-nadu,2021,4,Tiruppur,954674
tamil-nadu,2021,4,Salem,853064
tamil-nadu,2021,4,Madurai,774490
tamil-nadu,2021,4,Krishnagiri,731018
tamil-nadu,2021,4,Tiruchirappalli,649095
tamil-nadu,2020,1,Chennai,1340762
tamil-nadu,2020,1,Thiruvallur,1041642
tamil-nadu,2020,1,Chengalpattu,912587
tamil-nadu,2020,1,Coimbatore,868832
tamil-nadu,2020,1,Kancheepuram,626872
tamil-nadu,2020,1,Tiruppur,488697
tamil-nadu,2020,1,Salem,442045
tamil-nadu,2020,1,Madurai,402474
tamil-nadu,2020,1,Krishnagiri,379857
tamil-nadu,2020,1,Tiruchirappalli,339829
tamil-nadu,2020,2,Chennai,1436722
tamil-nadu,2020,2,Thiruvallur,1140330
tamil-nadu,2020,2,Chengalpattu,979769
tamil-nadu,2020,2,Coimbatore,958191
tamil-nadu,2020,2,Kancheepuram,678899
tamil-nadu,2020,2,Tiruppur,550609
tamil-nadu,2020,2,Salem,499360
tamil-nadu,2020,2,Madurai,456527
tamil-nadu,2020,2,Krishnagiri,424184
tamil-nadu,2020,2,Tiruchirappalli,383178
tamil-nadu,2020,3,Chennai,1566152
tamil-nadu,2020,3,Thiruvallur,1260923
tamil-nadu,2020,3,Coimbatore,1073680
tamil-nadu,2020,3,Chengalpattu,1064263
tamil-nadu,2020,3,Kancheepuram,744437
tamil-nadu,2020,3,Tiruppur,625391
tamil-nadu,2020,3,Salem,564858
tamil-nadu,2020,3,Madurai,516447
tamil-nadu,2020,3,Krishnagiri,480568
tamil-nadu,2020,3,Tiruchirappalli,433221
tamil-nadu,2020,4,Chennai,1731527
tamil-nadu,2020,4,Thiruvallur,1408348
tamil-nadu,2020,4,Coimbatore,1205249
tamil-nadu,2020,4,Chengalpattu,1170720
tamil-nadu,2020,4,Kancheepuram,829207
tamil-nadu,2020,4,Tiruppur,710489
tamil-nadu,2020,4,Salem,638883
tamil-nadu,2020,4,Madurai,582252
tamil-nadu,2020,4,Krishnagiri,545815
tamil-nadu,2020,4,Tiruchirappalli,487716
tamil-nadu,2018,1,Chennai,292004
tamil-nadu,2018,1,Thiruvallur,215622
tamil-nadu,2018,1,Chengalpattu,215210
tamil-nadu,2018,1,Coimbatore,170306
tamil-nadu,2018,1,Kancheepuram,136352
tamil-nadu,2018,1,Salem,88288
tamil-nadu,2018,1,Tiruppur,87652
tamil-nadu,2018,1,Madurai,72582
tamil-nadu,2018,1,Krishnagiri,66958
tamil-nadu,2018,1,Tiruchirappalli,62230
tamil-nadu,2018,2,Chennai,401349
tamil-nadu,2018,2,Thiruvallur,300210
tamil-nadu,2018,2,Chengalpattu,292432
tamil-nadu,2018,2,Coimbatore,244374
tamil-nadu,2018,2,Kancheepuram,188583
tamil-nadu,2018,2,Tiruppur,128535
tamil-nadu,2018,2,Salem,126830
tamil-nadu,2018,2,Madurai,105957
tamil-nadu,2018,2,Krishnagiri,96842
tamil-nadu,2018,2,Tiruchirappalli,91156
tamil-nadu,2018,3,Chennai,511138
tamil-nadu,2018,3,Thiruvallur,381620
tamil-nadu,2018,3,Chengalpattu,368413
tamil-nadu,2018,3,Coimbatore,318461
tamil-nadu,2018,3,Kancheepuram,239985
tamil-nadu,2018,3,Tiruppur,172195
tamil-nadu,2018,3,Salem,164489
tamil-nadu,2018,3,Madurai,138064
tamil-nadu,2018,3,Krishnagiri,128769
tamil-nadu,2018,3,Tiruchirappalli,119661
tamil-nadu,2018,4,Chennai,689276
tamil-nadu,2018,4,Thiruvallur,514830
tamil-nadu,2018,4,Chengalpattu,483785
tamil-nadu,2018,4,Coimbatore,415090
tamil-nadu,2018,4,Kancheepuram,318007
tamil-nadu,2018,4,Tiruppur,227253
tamil-nadu,2018,4,Salem,215365
tamil-nadu,2018,4,Madurai,183206
tamil-nadu,2018,4,Krishnagiri,172743
tamil-nadu,2018,4,Tiruchirappalli,160006
lakshadweep,2022,1,Lakshadweep,5990
lakshadweep,2022,2,Lakshadweep,6327
lakshadweep,2022,3,Lakshadweep,6645
lakshadweep,2022,4,Lakshadweep,6961
lakshadweep,2024,1,Lakshadweep,8578
lakshadweep,2024,2,Lakshadweep,8895
lakshadweep,2024,3,Lakshadweep,11395
lakshadweep,2024,4,Lakshadweep,11769
lakshadweep,2023,1,Lakshadweep,7267
lakshadweep,2023,2,Lakshadweep,7585
lakshadweep,2023,3,Lakshadweep,7912
lakshadweep,2023,4,Lakshadweep,8225
lakshadweep,2019,1,Lakshadweep,1416
lakshadweep,2019,2,Lakshadweep,1747
lakshadweep,2019,3,Lakshadweep,2117
lakshadweep,2019,4,Lakshadweep,2427
lakshadweep,2021,1,Lakshadweep,4577
lakshadweep,2021,2,Lakshadweep,4896
lakshadweep,2021,3,Lakshadweep,5287
lakshadweep,2021,4,Lakshadweep,5638
lakshadweep,2020,1,Lakshadweep,2772
lakshadweep,2020,2,Lakshadweep,3187
lakshadweep,2020,3,Lakshadweep,3644
lakshadweep,2020,4,Lakshadweep,4179
lakshadweep,2018,1,Lakshadweep,501
lakshadweep,2018,2,Lakshadweep,686
lakshadweep,2018,3,Lakshadweep,918
lakshadweep,2018,4,Lakshadweep,1156
telangana,2022,1,Hyderabad,4306136
telangana,2022,1,Rangareddy,3722676
telangana,2022,1,Medchal Malkajgiri,3138387
telangana,2022,1,Sangareddy,997988
telangana,2022,1,Warangal Urban,797162
telangana,2022,1,Nalgonda,681754
telangana,2022,1,Khammam,650223
telangana,2022,1,Nizamabad,628661
telangana,2022,1,Karimnagar,592752
telangana,2022,1,Bhadradri Kothagudem,465349
telangana,2022,2,Hyderabad,4519625
telangana,2022,2,Rangareddy,3911372
telangana,2022,2,Medchal Malkajgiri,3297882
telangana,2022,2,Sangareddy,1051378
telangana,2022,2,Warangal Urban,838533
telangana,2022,2,Nalgonda,719911
telangana,2022,2,Khammam,685755
telangana,2022,2,Nizamabad,662427
telangana,2022,2,Karimnagar,624054
telangana,2022,2,Bhadradri Kothagudem,491003
telangana,2022,3,Hyderabad,4739891
telangana,2022,3,Rangareddy,4105107
telangana,2022,3,Medchal Malkajgiri,3463208
telangana,2022,3,Sangareddy,1106571
telangana,2022,3,Warangal Urban,881363
telangana,2022,3,Nalgonda,758377
telangana,2022,3,Khammam,721877
telangana,2022,3,Nizamabad,697031
telangana,2022,3,Karimnagar,656534
telangana,2022,3,Bhadradri Kothagudem,517431
telangana,2022,4,Hyderabad,4962214
telangana,2022,4,Rangareddy,4296707
telangana,2022,4,Medchal Malkajgiri,3628619
telangana,2022,4,Sangareddy,1159594
telangana,2022,4,Warangal Urban,923715
telangana,2022,4,Nalgonda,793688
telangana,2022,4,Khammam,755705
telangana,2022,4,Nizamabad,729287
telangana,2022,4,Karimnagar,687385
telangana,2022,4,Bhadradri Kothagudem,542203
telangana,2024,1,Hyderabad,5928930
telangana,2024,1,Rangareddy,5149421
telangana,2024,1,Medchal Malkajgiri,4352811
telangana,2024,1,Sangareddy,1411306
telangana,2024,1,Warangal Urban,1117693
telangana,2024,1,Nalgonda,975830
telangana,2024,1,Khammam,925918
telangana,2024,1,Nizamabad,889165
telangana,2024,1,Karimnagar,835681
telangana,2024,1,Bhadradri Kothagudem,666127
telangana,2024,2,Hyderabad,6138190
telangana,2024,2,Rangareddy,5331711
telangana,2024,2,Medchal Malkajgiri,4507995
telangana,2024,2,Sangareddy,1463908
telangana,2024,2,Warangal Urban,1159405
telangana,2024,2,Nalgonda,1013537
telangana,2024,2,Khammam,961211
telangana,2024,2,Nizamabad,923061
telangana,2024,2,Karimnagar,867377
telangana,2024,2,Bhadradri Kothagudem,691518
telangana,2024,3,Rangareddy,5769438
telangana,2024,3,Hyderabad,5757304
telangana,2024,3,Medchal Malkajgiri,4907703
telangana,2024,3,Sangareddy,1478576
telangana,2024,3,Nizamabad,891370
telangana,2024,3,Nalgonda,835287
telangana,2024,3,Khammam,804962
telangana,2024,3,Karimnagar,745395
telangana,2024,3,Hanumakonda,712869
telangana,2024,3,Bhadradri Kothagudem,599724
telangana,2024,4,Rangareddy,5988320
telangana,2024,4,Hyderabad,5916910
telangana,2024,4,Medchal Malkajgiri,5063017
telangana,2024,4,Sangareddy,1526801
telangana,2024,4,Nizamabad,918096
telangana,2024,4,Nalgonda,856881
telangana,2024,4,Khammam,825840
telangana,2024,4,Karimnagar,765956
telangana,2024,4,Hanumakonda,734921
telangana,2024,4,Bhadradri Kothagudem,617451
telangana,2023,1,Hyderabad,5176899
telangana,2023,1,Rangareddy,4483193
telangana,2023,1,Medchal Malkajgiri,3787461
telangana,2023,1,Sangareddy,1212607
telangana,2023,1,Warangal Urban,964802
telangana,2023,1,Nalgonda,830827
telangana,2023,1,Khammam,790500
telangana,2023,1,Nizamabad,761985
telangana,2023,1,Karimnagar,718193
telangana,2023,1,Bhadradri Kothagudem,567571
telangana,2023,2,Hyderabad,5349842
telangana,2023,2,Rangareddy,4638501
telangana,2023,2,Medchal Malkajgiri,3918732
telangana,2023,2,Sangareddy,1259927
telangana,2023,2,Warangal Urban,1000275
telangana,2023,2,Nalgonda,866073
telangana,2023,2,Khammam,822976
telangana,2023,2,Nizamabad,792269
telangana,2023,2,Karimnagar,745882
telangana,2023,2,Bhadradri Kothagudem,591314
telangana,2023,3,Hyderabad,5543537
telangana,2023,3,Rangareddy,4809474
telangana,2023,3,Medchal Malkajgiri,4064256
telangana,2023,3,Sangareddy,1310211
telangana,2023,3,Warangal Urban,1039220
telangana,2023,3,Nalgonda,902281
telangana,2023,3,Khammam,857112
telangana,2023,3,Nizamabad,823846
telangana,2023,3,Karimnagar,775594
telangana,2023,3,Bhadradri Kothagudem,616038
telangana,2023,4,Hyderabad,5720710
telangana,2023,4,Rangareddy,4964411
telangana,2023,4,Medchal Malkajgiri,4195726
telangana,2023,4,Sangareddy,1356536
telangana,2023,4,Warangal Urban,1075692
telangana,2023,4,Nalgonda,936167
telangana,2023,4,Khammam,888902
telangana,2023,4,Nizamabad,854338
telangana,2023,4,Karimnagar,803398
telangana,2023,4,Bhadradri Kothagudem,638916
telangana,2019,1,Hyderabad,1638436
telangana,2019,1,Rangareddy,1470874
telangana,2019,1,Medchal Malkajgiri,1279531
telangana,2019,1,Sangareddy,346529
telangana,2019,1,Warangal Urban,301881
telangana,2019,1,Karimnagar,218609
telangana,2019,1,Nalgonda,211184
telangana,2019,1,Khammam,206049
telangana,2019,1,Nizamabad,186351
telangana,2019,1,Siddipet,152281
telangana,2019,2,Hyderabad,1856926
telangana,2019,2,Rangareddy,1651300
telangana,2019,2,Medchal Malkajgiri,1428880
telangana,2019,2,Sangareddy,395371
telangana,2019,2,Warangal Urban,342602
telangana,2019,2,Karimnagar,246886
telangana,2019,2,Nalgonda,243227
telangana,2019,2,Khammam,239435
telangana,2019,2,Nizamabad,217841
telangana,2019,2,Siddipet,175413
telangana,2019,3,Hyderabad,2071673
telangana,2019,3,Rangareddy,1826019
telangana,2019,3,Medchal Malkajgiri,1572320
telangana,2019,3,Sangareddy,441944
telangana,2019,3,Warangal Urban,381730
telangana,2019,3,Karimnagar,274735
telangana,2019,3,Nalgonda,274568
telangana,2019,3,Khammam,270101
telangana,2019,3,Nizamabad,248977
telangana,2019,3,Siddipet,196397
telangana,2019,4,Hyderabad,2283903
telangana,2019,4,Rangareddy,2001437
telangana,2019,4,Medchal Malkajgiri,1714832
telangana,2019,4,Sangareddy,493353
telangana,2019,4,Warangal Urban,421970
telangana,2019,4,Nalgonda,312849
telangana,2019,4,Karimnagar,305507
telangana,2019,4,Khammam,304804
telangana,2019,4,Nizamabad,284623
telangana,2019,4,Siddipet,221164
telangana,2021,1,Hyderabad,3379663
telangana,2021,1,Rangareddy,2906635
telangana,2021,1,Medchal Malkajgiri,2450573
telangana,2021,1,Sangareddy,767476
telangana,2021,1,Warangal Urban,620947
telangana,2021,1,Nalgonda,517727
telangana,2021,1,Khammam,497818
telangana,2021,1,Nizamabad,485751
telangana,2021,1,Karimnagar,459407
telangana,2021,1,Bhadradri Kothagudem,354847
telangana,2021,2,Hyderabad,3598337
telangana,2021,2,Rangareddy,3097973
telangana,2021,2,Medchal Malkajgiri,2611159
telangana,2021,2,Sangareddy,820387
telangana,2021,2,Warangal Urban,661592
telangana,2021,2,Nalgonda,555043
telangana,2021,2,Khammam,532589
telangana,2021,2,Nizamabad,518801
telangana,2021,2,Karimnagar,490218
telangana,2021,2,Bhadradri Kothagudem,380059
telangana,2021,3,Hyderabad,3839513
telangana,2021,3,Rangareddy,3310906
telangana,2021,3,Medchal Malkajgiri,2790387
telangana,2021,3,Sangareddy,880907
telangana,2021,3,Warangal Urban,707591
telangana,2021,3,Nalgonda,598288
telangana,2021,3,Khammam,572647
telangana,2021,3,Nizamabad,556044
telangana,2021,3,Karimnagar,524929
telangana,2021,3,Bhadradri Kothagudem,409224
telangana,2021,4,Hyderabad,4081185
telangana,2021,4,Rangareddy,3523496
telangana,2021,4,Medchal Malkajgiri,2969740
telangana,2021,4,Sangareddy,940845
telangana,2021,4,Warangal Urban,753613
telangana,2021,4,Nalgonda,641044
telangana,2021,4,Khammam,612314
telangana,2021,4,Nizamabad,593223
telangana,2021,4,Karimnagar,559456
telangana,2021,4,Bhadradri Kothagudem,438017
telangana,2020,1,Hyderabad,2483843
telangana,2020,1,Rangareddy,2166829
telangana,2020,1,Medchal Malkajgiri,1845599
telangana,2020,1,Sangareddy,542540
telangana,2020,1,Warangal Urban,457591
telangana,2020,1,Nalgonda,351793
telangana,2020,1,Khammam,340747
telangana,2020,1,Karimnagar,334300
telangana,2020,1,Nizamabad,320572
telangana,2020,1,Siddipet,245168
telangana,2020,2,Hyderabad,2653534
telangana,2020,2,Rangareddy,2313748
telangana,2020,2,Medchal Malkajgiri,1963353
